step,microtick,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,rho_triggered,rho_prime,ratio_decimal,convergence_error
0,1,7,11,11,7,49,121,True,13,0.4049586776859504,1.0092548846871447
0,2,7,11,11,7,2401,14641,True,13,0.4049586776859504,1.0092548846871447
0,3,7,11,11,7,117649,1771561,True,13,0.4049586776859504,1.0092548846871447
0,4,7,11,11,7,5764801,214358881,True,13,0.4049586776859504,1.0092548846871447
0,5,7,11,11,7,282475249,25937424601,True,13,0.4049586776859504,1.0092548846871447
0,6,7,11,11,7,13841287201,3138428376721,True,13,0.4049586776859504,1.0092548846871447
0,7,7,11,11,7,678223072849,379749833583241,True,13,0.4049586776859504,1.0092548846871447
0,8,7,11,11,7,33232930569601,45949729863572161,True,13,0.4049586776859504,1.0092548846871447
0,9,7,11,11,7,1628413597910449,5559917313492231481,True,13,0.4049586776859504,1.0092548846871447
0,10,7,11,11,7,79792266297612001,672749994932560009201,True,13,0.4049586776859504,1.0092548846871447
0,11,7,11,11,7,3909821048582988049,81402749386839761113321,False,0,0.4049586776859504,1.0092548846871447
1,1,7,11,11,7,191581231380566414401,9849732675807611094711841,False,0,0.4049586776859504,1.0092548846871447
1,2,7,11,11,7,9387480337647754305649,1191817653772720942460132761,False,0,0.4049586776859504,1.0092548846871447
1,3,7,11,11,7,459986536544739960976801,144209936106499234037676064081,False,0,0.4049586776859504,1.0092548846871447
1,4,7,11,11,7,22539340290692258087863249,17449402268886407318558803753801,False,0,0.4049586776859504,1.0092548846871447
1,5,7,11,11,7,1104427674243920646305299201,2111377674535255285545615254209921,False,0,0.4049586776859504,1.0092548846871447
1,6,7,11,11,7,54116956037952111668959660849,255476698618765889551019445759400441,False,0,0.4049586776859504,1.0092548846871447
1,7,7,11,11,7,2651730845859653471779023381601,30912680532870672635673352936887453361,False,0,0.4049586776859504,1.0092548846871447
1,8,7,11,11,7,129934811447123020117172145698449,3740434344477351388916475705363381856681,False,0,0.4049586776859504,1.0092548846871447
1,9,7,11,11,7,6366805760909027985741435139224001,452592555681759518058893560348969204658401,False,0,0.4049586776859504,1.0092548846871447
1,10,7,11,11,7,311973482284542371301330321821976049,54763699237492901685126120802225273763666521,False,0,0.4049586776859504,1.0092548846871447
1,11,7,11,11,7,15286700631942576193765185769276826401,6626407607736641103900260617069258125403649041,False,0,0.4049586776859504,1.0092548846871447
2,1,7,11,11,7,749048330965186233494494102694564493649,801795320536133573571931534665380233173841533961,False,0,0.4049586776859504,1.0092548846871447
2,2,7,11,11,7,36703368217294125441230211032033660188801,97017233784872162402203715694511008214034825609281,False,0,0.4049586776859504,1.0092548846871447
2,3,7,11,11,7,1798465042647412146620280340569649349251249,11739085287969531650666649599035831993898213898723001,False,0,0.4049586776859504,1.0092548846871447
2,4,7,11,11,7,88124787089723195184393736687912818113311201,1420429319844313329730664601483335671261683881745483121,False,0,0.4049586776859504,1.0092548846871447
2,5,7,11,11,7,4318114567396436564035293097707728087552248849,171871947701161912897410416779483616222663749691203457641,False,0,0.4049586776859504,1.0092548846871447
2,6,7,11,11,7,211587613802425391637729361787678676290060193601,20796505671840591460586660430317517562942313712635618374561,False,0,0.4049586776859504,1.0092548846871447
2,7,7,11,11,7,10367793076318844190248738727596255138212949486449,2516377186292711566730985912068419625116019959228909823321881,False,0,0.4049586776859504,1.0092548846871447
2,8,7,11,11,7,508021860739623365322188197652216501772434524836001,304481639541418099574449295360278774639038415066698088621947601,False,0,0.4049586776859504,1.0092548846871447
2,9,7,11,11,7,24893071176241544900787221684958608586849291716964049,36842278384511590048508364738593731731323648223070468723255659721,False,0,0.4049586776859504,1.0092548846871447
2,10,7,11,11,7,1219760487635835700138573862562971820755615294131238401,4457915684525902395869512133369841539490161434991526715513934826241,False,0,0.4049586776859504,1.0092548846871447
2,11,7,11,11,7,59768263894155949306790119265585619217025149412430681649,539407797827634189900210968137750826278309533633974732577186113975161,False,0,0.4049586776859504,1.0092548846871447
3,1,7,11,11,7,2928644930813641516032715844013695341634232321209103400801,65268343537143736977925527144667849979675453569710942641839519790994481,False,0,0.4049586776859504,1.0092548846871447
3,2,7,11,11,7,143503601609868434285603076356671071740077383739246066639249,7897469567994392174328988784504809847540729881935024059662581894710332201,False,0,0.4049586776859504,1.0092548846871447
3,3,7,11,11,7,7031676478883553279994550741476882515263791803223057265323201,955593817727321453093807642925081991552428315714137911219172409259950196321,False,0,0.4049586776859504,1.0092548846871447
3,4,7,11,11,7,344552147465294110719732986332367243247925798357929806000836849,115626851945005895824350724793934920977843826201410687257519861520453973754841,False,0,0.4049586776859504,1.0092548846871447
3,5,7,11,11,7,16883055225799411425266916330285994919148364119538560494041005601,13990849085345713394746437700066125438319102970370693158159903243974930824335761,False,0,0.4049586776859504,1.0092548846871447
3,6,7,11,11,7,827269706064171159838078900184013751038269841857389464208009274449,1692892739326831320764318961708001178036611459414853872137348292520966629744627081,False,0,0.4049586776859504,1.0092548846871447
3,7,7,11,11,7,40536215597144386832065866109016673800875222251012083746192454448001,204840021458546589812482594366668142542429986589197318528619143395036962199099876801,False,0,0.4049586776859504,1.0092548846871447
3,8,7,11,11,7,1986274564260074954771227439341817016242885890299592103563430267952049,24785642596484137367310393918366845247634028377292875541962916350799472426091085092921,False,0,0.4049586776859504,1.0092548846871447
3,9,7,11,11,7,97327453648743672783790144527749033795901408624680013074608083129650401,2999062754174580621444557664122388274963717433652437940577512878446736163557021296243441,False,0,0.4049586776859504,1.0092548846871447
3,10,7,11,11,7,4769045228788439966405717081859702655999169022609320640655796073352869649,362886593255124255194791477358808981270609809471944990809879058292055075790399576845456361,False,0,0.4049586776859504,1.0092548846871447
3,11,7,11,11,7,233683216210633558353880137011125430143959282107856711392134007594290612801,43909277783870034878569768760415886733743786946105343887995366053338664170638348798300219681,False,0,0.4049586776859504,1.0092548846871447
